user_id,movie_id,watch_date,watch_time_minutes,completion_rate,rating,liked
1,117,2025-03-14,81.9,0.92,3,0
1,140,2025-05-24,74.8,0.88,5,1
1,143,2025-11-09,134.4,0.84,3,0
1,139,2025-05-06,48.6,0.6,4,1
1,144,2025-12-09,113.0,0.85,3,0
1,159,2025-12-17,70.2,0.59,3,0
1,134,2025-11-10,93.1,0.95,3,0
1,129,2025-06-25,60.3,0.58,4,1
1,120,2025-09-20,118.4,0.89,5,1
1,107,2025-10-21,76.5,0.85,3,0
1,119,2025-05-31,108.7,0.76,2,0
1,123,2025-03-27,88.3,0.73,5,1
1,103,2025-06-05,57.0,0.57,3,0
1,151,2025-05-14,117.4,0.91,3,0
1,142,2025-10-21,49.3,0.58,3,0
1,111,2025-12-03,90.5,0.58,3,0
1,116,2025-05-27,75.2,0.73,4,1
1,145,2025-02-12,103.0,0.72,2,0
1,155,2025-05-23,33.0,0.26,1,0
1,137,2025-03-09,52.1,0.42,2,0
1,104,2025-01-08,96.8,0.88,3,0
1,153,2025-11-06,19.2,0.24,4,1
1,131,2025-12-04,43.2,0.32,3,0
1,126,2025-07-09,96.5,0.67,2,0
1,136,2025-09-06,43.8,0.32,2,0
1,118,2025-09-28,40.6,0.33,3,0
1,105,2025-03-16,13.2,0.14,2,0
2,160,2025-12-28,105.8,0.98,5,1
2,111,2025-08-11,123.2,0.79,4,1
2,134,2025-05-28,53.9,0.55,4,1
2,130,2025-09-29,132.8,0.83,4,1
2,129,2025-01-22,101.9,0.98,5,1
2,116,2025-08-10,62.8,0.61,5,1
2,132,2025-11-30,121.3,0.94,4,1
2,112,2025-02-20,112.3,0.72,4,1
2,113,2025-12-02,81.7,0.71,5,1
2,128,2025-05-04,138.0,0.92,3,0
2,104,2025-10-29,107.8,0.98,5,1
2,122,2025-04-03,95.1,0.67,3,0
2,153,2025-10-08,60.0,0.75,4,1
2,154,2025-01-07,80.3,0.55,3,0
2,135,2025-02-20,128.0,0.81,3,0
2,103,2025-04-23,88.0,0.88,5,1
2,105,2025-05-09,68.6,0.73,5,1
2,152,2025-01-30,50.7,0.34,3,0
2,146,2025-12-03,104.9,0.86,4,1
2,126,2025-12-29,53.3,0.37,3,0
2,118,2025-02-14,30.8,0.25,2,0
2,156,2025-11-28,82.7,0.87,4,1
2,143,2025-04-05,131.2,0.82,4,1
2,145,2025-08-28,34.3,0.24,2,0
2,133,2025-02-08,82.7,0.94,3,0
2,115,2025-08-07,132.9,0.91,1,0
2,121,2025-06-15,148.2,0.95,4,1
3,126,2025-02-25,135.4,0.94,4,1
3,140,2025-10-04,54.4,0.64,5,1
3,102,2025-08-15,64.0,0.82,4,1
3,109,2025-05-13,85.0,1.0,5,1
3,101,2025-05-09,56.1,0.61,4,1
3,130,2025-01-10,132.8,0.83,4,1
3,137,2025-01-20,106.6,0.86,5,1
3,150,2025-07-19,77.6,0.97,5,1
3,139,2025-07-20,58.3,0.72,4,1
3,104,2025-01-02,100.1,0.91,5,1
3,122,2025-09-02,106.5,0.75,3,0
3,117,2025-07-26,57.9,0.65,2,0
3,142,2025-12-19,15.3,0.18,2,0
3,110,2025-03-04,67.5,0.71,3,0
3,147,2025-06-20,92.7,0.82,1,0
3,118,2025-07-25,59.0,0.48,2,0
4,156,2025-12-05,62.7,0.66,2,0
4,106,2025-06-03,80.4,0.67,3,0
4,127,2025-12-19,139.6,0.99,4,1
4,148,2025-09-07,111.7,0.77,4,1
4,125,2025-04-08,95.4,0.6,4,1
4,113,2025-01-19,31.1,0.27,2,0
4,147,2025-05-03,38.4,0.34,5,1
4,131,2025-07-19,97.2,0.72,3,0
4,122,2025-09-13,25.6,0.18,2,0
5,149,2025-11-13,118.2,0.85,3,0
5,146,2025-01-08,69.5,0.57,4,1
5,128,2025-11-20,99.0,0.66,5,1
5,102,2025-02-19,45.2,0.58,5,1
5,143,2025-11-09,134.4,0.84,3,0
5,124,2025-02-24,55.2,0.65,4,1
5,140,2025-09-12,52.7,0.62,4,1
5,138,2025-04-14,92.1,0.93,5,1
5,126,2025-06-22,118.1,0.82,4,1
5,154,2025-12-17,143.1,0.98,4,1
5,131,2025-10-07,122.8,0.91,5,1
5,114,2025-04-20,99.5,0.63,3,0
5,121,2025-10-31,88.9,0.57,5,1
5,107,2025-03-14,59.4,0.66,4,1
5,104,2025-03-28,89.1,0.81,5,1
5,159,2025-10-25,67.8,0.57,2,0
5,148,2025-03-10,21.8,0.15,2,0
